[2025-11-30 14:38:11] [INFO    ] discord.client: logging in using static token
[2025-11-30 14:38:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-30 14:38:12] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-30 14:38:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1442643094716682312', 'username': 'Study Tracker', 'avatar': None, 'discriminator': '2010', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-30 14:38:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-30 14:38:12] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-30 14:38:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1442643094716682312', 'name': 'Study Tracker', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1442643094716682312', 'username': 'Study Tracker', 'avatar': None, 'discriminator': '2010', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '710c77f1b390d218d752a3d7910d2461c7097351ea090a42221ca6d8eb20f7bb', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '482195705910525974', 'username': 'trif0943', 'avatar': 'c5d1b700e20c51402191084ad08a469b', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 2105379, 'global_name': 'Trif', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#202023', 'clan': {'identity_guild_id': '693584494862794822', 'identity_enabled': True, 'tag': 'ΜΠΗΣ', 'badge': 'd16dfbf0b73dfd067138f65e1d4d679e'}, 'primary_guild': {'identity_guild_id': '693584494862794822', 'identity_enabled': True, 'tag': 'ΜΠΗΣ', 'badge': 'd16dfbf0b73dfd067138f65e1d4d679e'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-30 14:38:12] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-30 14:38:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-g37p",{"micros":0.0}]']}}
[2025-11-30 14:38:12] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-30 14:38:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
